Beginning log for ZERA_ (71d6c242-d0b0-30b9-9635-bce9cb6764aa)
Hack: Speed (500/500)
Timing: Banwave
Date: 01:00:14 PM CEST - 08/16/2019
Time elapsed: 1.83 minutes
Hack Score: 0.4731132118223922

Total amount of checks
Flight#1: 1
GhostHand#1: 1
Scaffold#3: 6
Speed#3: 79

Flagged Speed#3     | VL: 439 (+5) TPS: 20.0 [504 ms]
Flagged Speed#3     | VL: 444 (+6) TPS: 20.0 [454 ms]
Flagged Speed#3     | VL: 450 (+6) TPS: 20.0 [403 ms]
Flagged Speed#3     | VL: 456 (+6) TPS: 20.0 [351 ms]
Flagged Speed#3     | VL: 462 (+6) TPS: 20.0 [302 ms]
Flagged Speed#3     | VL: 468 (+6) TPS: 20.0 [252 ms]
Flagged Speed#3     | VL: 474 (+6) TPS: 20.0 [201 ms]
Flagged Speed#3     | VL: 480 (+5) TPS: 20.0 [151 ms]
Flagged Speed#3     | VL: 485 (+5) TPS: 20.0 [100 ms]
Flagged Speed#3     | VL: 490 (+5) TPS: 20.0 [50 ms]

BANWAVE Speed#3     | VL: 495 (+5) TPS: 20.0 [0]

Banning ZERA_ for Speed (VL: 500)
